org_name,type,website,contact_email,source,ein,irs_name,irs_city,match_confidence,match_score,first_year,last_year,years_filed,filing_gaps,comp_jump_years,latest_revenue,latest_employees
Habitat for Humanity Philadelphia,CDC,,,Ben roster,421580163,Habitat For Humanity International Inc,Philadelphia,medium,0.69,2011,2023,13,,,8309601,
HACE,CDC,,,Ben roster,,,,none,0.42,,,0,,,,
HELP Development Corporation,CDC,,,Ben roster,,,,none,0.0,,,0,,,,
Heritage CDC,CDC,,,Ben roster,232698107,Heritage Community Development Corporation,Philadelphia,high,1.0,,,0,,,,
HMC Squared Community Association,CDC,,,Ben roster,473084174,Hmc Squared Community Association Inc,Philadelphia,high,1.0,2014,2014,1,,,0,
HopePHL,CDC,,,Ben roster,232017882,Hopephl,Philadelphia,high,1.0,2011,2023,13,,2012; 2013; 2014; 2015; 2016; 2018; 2023,8006243,
Housing Enrichment Renaissance Board CDC,CDC,,,Ben roster,,,,none,0.0,,,0,,,,
HumanGood East,CDC,,,Ben roster,232828862,Humangood East,Lafayette Hl,high,1.0,2016,2023,7,2020->2022,,0,
ICPIC New Africa Center CDC,CDC,,,Ben roster,,,,none,0.0,,,0,,,,
Impact Services Corporation,CDC,,,Ben roster,232087348,Impact Services Corp,Philadelphia,high,1.0,2011,2023,13,,2014; 2016; 2019; 2020; 2021; 2022,13359196,
Inglis Housing Corporation,CDC,,,Ben roster,232326550,Inglis Housing Corporation,Philadelphia,high,1.0,2011,2023,13,,2023,695036,
Korean Community Development Services Center,CDC,,,Ben roster,232303766,Korean Community Development Services Center,Philadelphia,high,1.0,2011,2023,13,,2019; 2020; 2021; 2022; 2023,1710276,
Lancaster Avenue 21st Century Business Association CDC (LA21),CDC,,,Ben roster,900502551,Lancaster Avenue 21 St Century Business Association,Philadelphia,high,0.93,2015,2023,7,2016->2019,2020; 2021; 2022; 2023,935900,
Lower North Philadelphia CDC,CDC,,,Ben roster,823231994,Lower North Philadelphia Community Development Corporation,Philadelphia,high,1.0,2020,2020,1,,,52494,
Mission First Housing Group,CDC,,,Ben roster,455470563,Mission First Housing Group Inc,Philadelphia,high,1.0,2014,2023,10,,,815573,
Mt. Airy CDC,CDC,,,Ben roster,222526396,Mt Airy Usa,Philadelphia,high,0.78,2010,2023,14,,2011; 2012; 2022; 2023,1649524,
Mt. Vernon Manor CDC,CDC,,,Ben roster,256084074,Mt Vernon Youth Development Group,Elizabeth,high,0.73,2011,2023,12,2013->2015,,285039,
New Kensington CDC,CDC,,,Ben roster,222610536,New Kensington Community Development Corp,Philadelphia,high,1.0,2011,2023,13,,2017; 2023,3943941,
Newbold CDC,CDC,,,Ben roster,542184458,Newbold Community Development Corporation,Philadelphia,high,1.0,2016,2023,6,2019->2022,,6708,
NewCourtland,CDC,,,Ben roster,264194368,Newcourtland Properties,Philadelphia,medium,0.69,2009,2023,15,,,334557,
Nicetown CDC,CDC,,,Ben roster,233061705,Nicetown Community Development Corporation,Philadelphia,high,1.0,2011,2023,13,,2012; 2018; 2019; 2020,3092233,
Northwest CLT Corporation,CDC,,,Ben roster,872176243,Northwest Clt Corporation,Philadelphia,high,1.0,,,0,,,,
Ogontz Ave Revitalization Corporation,CDC,,,Ben roster,,,,none,0.0,,,0,,,,
Old City District,CDC,,,Ben roster,232176305,Old City Civic Association,Philadelphia,high,0.77,2011,2023,13,,,11342,
Olney Community Collaborative,CDC,,,Ben roster,852575923,Olney Community Collaborative,Philadelphia,high,1.0,,,0,,,,
Overbrook West Neighbors CDC,CDC,,,Ben roster,824449937,Overbrook West Neighbors,Philadelphia,high,1.0,2019,2023,5,,,410265,
Oxford Circle Christian Community Development Association (OCCCDA),CDC,,,Ben roster,204984694,Oxford Circle Christian Communitydevelopment Association Inc,Philadelphia,medium,0.7,2011,2023,12,2019->2021,2023,2992304,
Park to Broad Arts & Business District,CDC,,,Ben roster,,,,none,0.0,,,0,,,,
Partnership CDC,CDC,,,Ben roster,232711533,The Partnership Cdc,Philadelphia,high,1.0,2011,2015,5,,2013; 2014; 2015,381694,
Passyunk Area Revitalization Corporation,CDC,,,Ben roster,,,,none,0.0,,,0,,,,
Philadelphia Chinatown Development Corporation,CDC,,,Ben roster,237439723,Philadelphia Chinatown Development Corp Chinatown Community Park,Philadelphia,high,0.75,2011,2023,13,,,2537285,
ProjectHOME,CDC,,,Ben roster,232555950,Project Home,Philadelphia,high,0.96,2011,2023,13,,2012; 2017; 2023,73793942,
SEAMAAC,CDC,,,Ben roster,,,,none,0.28,,,0,,,,
Sister Clara Muhammad CDC,CDC,,,Ben roster,900405460,Sister Clara Muhammad Community Development Corporation,Philadelphia,high,1.0,2011,2023,13,,,44388,
Smart Futures CDC,CDC,,,Ben roster,300263715,Smart Futures,Pittsburgh,high,1.0,2011,2023,13,,2014; 2020,1561341,
South Kensington Community Partners,CDC,,,Ben roster,222446719,South Kensington Community Partners Inc,Philadelphia,high,1.0,2011,2023,13,,,338847,
South Street Headhouse District,CDC,,,Ben roster,232844044,South Street Headhouse District Foundation,Philadelphia,high,0.85,,,0,,,,
Southwest CDC,CDC,,,Ben roster,232491247,Southwest Community Development Corp,Philadelphia,high,1.0,2011,2023,13,,2012; 2015; 2017,1870132,
Tacony CDC,CDC,,,Ben roster,233052060,Tacony Community Development Corporation,Philadelphia,high,1.0,2012,2024,14,,2023,414614,
The Enterprise Center CDC,CDC,,,Ben roster,300002632,The Enterprise Center Community Development Corporation,Philadelphia,high,1.0,2012,2023,12,,2022; 2023,3539141,
The Maple Corporation,CDC,,,Ben roster,236432397,Maple Corporation,Philadelphia,high,1.0,2011,2023,13,,2018; 2019; 2021,205245,
Tioga United,CDC,,,Ben roster,233101958,Tioga United Inc,Philadelphia,high,1.0,2010,2023,10,2015->2020,2023,383077,
Women's Community Revitalization Project (WCRP),CDC,,,Ben roster,222840188,Womens Community Revitalization Project,Philadelphia,high,0.91,2011,2023,13,,2023,11408395,
Wynnefield Overbrook Revitalization Corporation,CDC,,,Ben roster,830444104,Wynnfield Overbrook Revitalization Corporation,Philadelphia,high,0.99,2011,2023,13,,,337172,
Xiente,CDC,,,Ben roster,239233412,Xiente,Philadelphia,high,1.0,2010,2023,14,,2012; 2017; 2018; 2019; 2020,9936492,
